"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2022 februari*","98","282","184",".","."
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2022 maart*","135","342","207",".","."
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2022 april*","106","352","247",".","."
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021 mei","139","71","-68","10,1","1,7"
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021 juni","148","79","-69","6,2","-6,6"
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021 juli","160","77","-84","15,1","0,5"
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021 augustus","139","75","-64","0,1","3,8"
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021 september","177","92","-84","2,2","10,3"
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021 oktober","134","76","-58","-20,2","-21,4"
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021 november","173","91","-82","2,6","7,4"
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021 december","155","94","-61","6,5","0,3"
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2021","1.819","997","-822",".","."
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2022 januari*","184","90","-94",".","."
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2022 februari*","149","86","-62",".","."
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2022 maart*","187","105","-82",".","."
"03 Vis, schaal- en weekdieren en bere...","Niet-EU","2022 april*","153","99","-54",".","."
"04 Granen en graanproducten","Totaal landen","2021 mei","516","257","-259","29,5","19,7"
"04 Granen en graanproducten","Totaal landen","2021 juni","470","303","-168","16,6","30,0"
"04 Granen en graanproducten","Totaal landen","2021 juli","499","286","-212","15,3","9,4"
"04 Granen en graanproducten","Totaal landen","2021 augustus","500","278","-223","24,5","19,8"
"04 Granen en graanproducten","Totaal landen","2021 september","478","293","-186","18,0","7,5"
"04 Granen en graanproducten","Totaal landen","2021 oktober","453","286","-167","8,9","2,6"
"04 Granen en graanproducten","Totaal landen","2021 november","535","308","-227","22,7","11,2"
"04 Granen en graanproducten","Totaal landen","2021 december","619","298","-321","36,2","12,1"
"04 Granen en graanproducten","Totaal landen","2021","5.942","3.365","-2.578","17,6","11,0"
"04 Granen en graanproducten","Totaal landen","2022 januari*","541","266","-274",".","."
"04 Granen en graanproducten","Totaal landen","2022 februari*","545","281","-264",".","."
"04 Granen en graanproducten","Totaal landen","2022 maart*","619","347","-273",".","."
"04 Granen en graanproducten","Totaal landen","2022 april*","632","300","-331",".","."
"04 Granen en graanproducten","EU (exclusief Nederland)","2021 mei","401","192","-210","44,9","19,5"
"04 Granen en graanproducten","EU (exclusief Nederland)","2021 juni","378","231","-147","31,6","34,7"
"04 Granen en graanproducten","EU (exclusief Nederland)","2021 juli","361","211","-150","1,8","9,4"
"04 Granen en graanproducten","EU (exclusief Nederland)","2021 augustus","348","209","-139","11,2","21,6"
"04 Granen en graanproducten","EU (exclusief Nederland)","2021 september","405","217","-188","24,6","10,1"
